Date,Time,Open,High,Low,Close,Vol,OI
04/06/2011,17:00:00,1185.75,1195.25,1184.75,1187.75,1656416,2665569
04/07/2011,17:00:00,1187.75,1194.0,1181.0,1187.25,2180272,2671718
04/08/2011,17:00:00,1187.25,1194.5,1177.5,1182.5,1858868,2688459
04/11/2011,17:00:00,1184.5,1189.0,1175.75,1178.25,1527470,2695169
04/12/2011,17:00:00,1179.0,1179.25,1164.0,1167.0,2078928,2685024
04/13/2011,17:00:00,1167.0,1177.5,1163.75,1167.5,1919662,2667514
04/14/2011,17:00:00,1168.0,1172.0,1157.0,1169.0,2027796,2690414
04/15/2011,17:00:00,1169.25,1178.0,1164.5,1177.5,1644200,2683332
04/18/2011,17:00:00,1177.0,1177.5,1149.0,1159.75,2255340,2687640
04/19/2011,17:00:00,1159.75,1168.25,1152.75,1167.25,1528995,2693117
04/20/2011,17:00:00,1167.5,1189.25,1167.25,1187.0,1871971,2694507
04/21/2011,17:00:00,1187.25,1196.5,1186.75,1189.75,1276072,2681863
04/25/2011,17:00:00,1189.25,1194.0,1186.0,1189.5,599322,2693363
04/26/2011,17:00:00,1189.5,1205.0,1186.75,1199.75,1386038,2726416
04/27/2011,17:00:00,1199.75,1213.0,1199.0,1209.75,1386295,2751861
04/28/2011,17:00:00,1210.25,1217.25,1205.5,1213.75,1706910,2743397
04/29/2011,17:00:00,1213.75,1222.5,1211.5,1218.5,1272342,2742628
05/02/2011,17:00:00,1222.0,1232.25,1213.5,1216.5,1707040,2742024
05/03/2011,17:00:00,1216.5,1217.25,1204.5,1210.75,1674060,2794195
05/04/2011,17:00:00,1210.5,1213.75,1196.25,1201.75,2382666,2790443
05/05/2011,17:00:00,1202.0,1207.5,1184.0,1193.75,2915006,2758798
05/06/2011,17:00:00,1193.0,1210.5,1190.5,1193.25,2673077,2751590
05/09/2011,17:00:00,1196.0,1205.0,1193.25,1201.5,1666599,2677123
05/10/2011,17:00:00,1201.25,1215.25,1197.75,1212.5,1571216,2680756
05/11/2011,17:00:00,1212.5,1217.0,1191.75,1197.5,2190906,2664963
05/12/2011,17:00:00,1198.0,1207.5,1187.5,1206.25,2254909,2647161
05/13/2011,17:00:00,1206.0,1211.25,1189.25,1192.75,2235430,2650027
05/16/2011,17:00:00,1190.75,1200.0,1183.5,1184.25,2177046,2666484
05/17/2011,17:00:00,1184.0,1190.75,1174.75,1184.25,2292146,2688008
05/18/2011,17:00:00,1185.0,1199.25,1183.25,1197.25,1612220,2695103
05/19/2011,17:00:00,1197.0,1204.25,1193.25,1200.5,1825276,2706744
05/20/2011,17:00:00,1200.25,1202.75,1185.75,1186.5,2248408,2719462
05/23/2011,17:00:00,1184.75,1185.75,1169.5,1174.0,2054242,2752316
05/24/2011,17:00:00,1173.5,1181.25,1170.5,1172.25,1860601,2761199
05/25/2011,17:00:00,1171.75,1183.25,1161.0,1175.25,2100699,2780614
05/26/2011,17:00:00,1175.25,1186.25,1171.25,1185.25,2286732,2762061
05/27/2011,17:00:00,1185.25,1192.5,1183.25,1188.75,1393298,2775088
05/31/2011,17:00:00,1189.75,1204.5,1187.0,1202.75,1927228,2815719
06/01/2011,17:00:00,1202.75,1206.5,1170.0,1170.75,2681845,2835132
06/02/2011,17:00:00,1172.0,1176.5,1163.0,1171.25,2433178,2815208
06/03/2011,17:00:00,1171.0,1172.25,1153.25,1155.0,2677734,2930588
06/06/2011,17:00:00,1157.5,1157.75,1142.0,1143.75,2185300,2889057
06/07/2011,17:00:00,1144.0,1154.25,1141.25,1143.5,2069553,2803593
06/08/2011,17:00:00,1143.75,1146.5,1135.0,1135.75,2695851,2671828
06/09/2011,17:00:00,1137.25,1152.75,1134.0,1146.25,978448,808832
06/10/2011,17:00:00,1146.5,1147.75,1126.0,1128.0,2355546,1201982
06/13/2011,17:00:00,1129.25,1136.0,1123.75,1130.5,2517553,1584108
06/14/2011,17:00:00,1131.75,1151.25,1129.5,1148.75,2834353,2117784
06/15/2011,17:00:00,1148.0,1148.0,1120.0,1124.25,3639073,2472316
06/16/2011,17:00:00,1125.25,1133.25,1116.5,1127.75,3263670,2557724
06/17/2011,17:00:00,1128.0,1141.5,1122.75,1130.25,2335210,2572371
06/20/2011,17:00:00,1129.25,1139.5,1120.5,1138.0,1675608,2540173
06/21/2011,17:00:00,1137.5,1157.0,1136.0,1152.25,2075568,2531071
06/22/2011,17:00:00,1152.0,1158.0,1143.75,1144.0,1872931,2524036
06/23/2011,17:00:00,1144.25,1145.0,1121.25,1141.25,3316080,2548765
06/24/2011,17:00:00,1141.75,1150.25,1125.5,1128.25,2499136,2575596
06/27/2011,17:00:00,1129.25,1144.25,1121.25,1140.5,2000732,2536579
06/28/2011,17:00:00,1141.25,1159.25,1135.75,1158.75,1913881,2507415
06/29/2011,17:00:00,1157.75,1169.75,1155.75,1168.5,2489063,2484633
06/30/2011,17:00:00,1168.25,1181.75,1166.5,1179.75,1875270,2490419
07/01/2011,17:00:00,1179.75,1200.75,1176.75,1199.0,1955127,2468230
07/05/2011,17:00:00,1198.25,1202.0,1192.5,1201.0,1729821,2485036
07/06/2011,17:00:00,1200.25,1205.0,1190.75,1200.0,1819425,2486568
07/07/2011,17:00:00,1200.25,1217.0,1200.0,1216.0,1678156,2502471
07/08/2011,17:00:00,1215.75,1218.75,1193.5,1206.0,2253551,2525676
07/11/2011,17:00:00,1203.5,1203.75,1176.0,1182.75,2432258,2558138
07/12/2011,17:00:00,1182.25,1187.5,1159.5,1175.0,2888474,2589528
07/13/2011,17:00:00,1175.0,1192.0,1171.5,1176.5,2315093,2579101
07/14/2011,17:00:00,1176.5,1187.5,1166.25,1171.0,2877782,2575806
07/15/2011,17:00:00,1172.0,1179.75,1164.75,1179.25,2298613,2547985
07/18/2011,17:00:00,1178.75,1179.0,1155.5,1164.75,2168734,2565507
07/19/2011,17:00:00,1165.75,1188.5,1164.5,1185.5,2098625,2585860
07/20/2011,17:00:00,1185.5,1194.0,1183.5,1185.5,1637321,2594680
07/21/2011,17:00:00,1186.0,1207.75,1179.25,1206.75,2311771,2575395
07/22/2011,17:00:00,1205.5,1212.0,1197.0,1205.25,1478170,2559590
07/25/2011,17:00:00,1194.25,1204.5,1186.25,1197.75,1640963,2567417
07/26/2011,17:00:00,1197.75,1204.0,1189.75,1190.5,1698186,2558292
07/27/2011,17:00:00,1190.25,1192.75,1162.25,1163.25,2535676,2622989
07/28/2011,17:00:00,1163.5,1177.25,1159.5,1161.0,2338767,2633648
07/29/2011,17:00:00,1162.0,1165.0,1142.75,1152.75,2889931,2689055
08/01/2011,17:00:00,1170.25,1174.0,1134.5,1144.0,3020191,2717702
08/02/2011,17:00:00,1144.0,1149.25,1111.0,1111.5,3293753,2786136
08/03/2011,17:00:00,1112.5,1122.25,1094.5,1118.75,3815275,2837954
08/04/2011,17:00:00,1118.5,1128.5,1057.5,1063.0,5039775,2960288
08/05/2011,17:00:00,1063.5,1083.25,1027.5,1062.0,6160540,2938984
08/08/2011,17:00:00,1031.5,1053.25,973.75,975.5,6173318,3242540
08/09/2011,17:00:00,977.25,1039.75,941.25,1036.0,6285917,3337317
08/10/2011,17:00:00,1035.25,1043.0,978.0,987.75,4925051,3446782
08/11/2011,17:00:00,987.25,1048.25,967.25,1032.75,4482222,3385012
08/12/2011,17:00:00,1032.5,1051.0,1011.0,1041.0,2720118,3371749
08/15/2011,17:00:00,1044.0,1066.0,1040.5,1062.75,2002026,3367839
08/16/2011,17:00:00,1060.75,1065.75,1041.75,1056.5,2556621,3169438
08/17/2011,17:00:00,1056.0,1071.0,1045.75,1054.25,2112805,3203678
