Date,Time,Open,High,Low,Close,Vol,OI
08/24/2018,17:00:00,7940.00000,8120.00000,7930.00000,8095.00000,2656,1730
08/27/2018,17:00:00,8135.00000,8240.00000,8130.00000,8210.00000,2398,1436
08/28/2018,17:00:00,8200.00000,8605.00000,8195.00000,8570.00000,5220,1063
08/29/2018,17:00:00,8580.00000,8600.00000,8370.00000,8480.00000,3899,533
08/30/2018,17:00:00,8525.00000,8530.00000,8270.00000,8290.00000,752,2246
08/31/2018,17:00:00,8435.00000,8575.00000,8350.00000,8530.00000,4632,2284
09/04/2018,17:00:00,8745.00000,8895.00000,8675.00000,8835.00000,5305,2227
09/05/2018,17:00:00,8840.00000,8880.00000,8325.00000,8385.00000,4585,2181
09/06/2018,17:00:00,8410.00000,8410.00000,7700.00000,7915.00000,2475,2218
09/07/2018,17:00:00,7895.00000,7990.00000,7765.00000,7875.00000,2475,2218
09/10/2018,17:00:00,7825.00000,7835.00000,7660.00000,7750.00000,1936,2312
09/11/2018,17:00:00,7745.00000,7870.00000,7605.00000,7715.00000,1857,2277
09/12/2018,17:00:00,7755.00000,7820.00000,7660.00000,7775.00000,1581,2328
09/13/2018,17:00:00,7780.00000,8010.00000,7780.00000,7920.00000,2350,2417
09/14/2018,17:00:00,7935.00000,8060.00000,7815.00000,8010.00000,2085,2354
09/17/2018,17:00:00,7955.00000,8010.00000,7650.00000,7715.00000,2337,2283
09/18/2018,17:00:00,7695.00000,7855.00000,7665.00000,7760.00000,1108,2194
09/19/2018,17:00:00,7790.00000,8020.00000,7520.00000,7860.00000,3037,2178
09/20/2018,17:00:00,7850.00000,7920.00000,7795.00000,7885.00000,1373,2098
09/21/2018,17:00:00,7955.00000,8260.00000,7940.00000,8225.00000,3627,2034
09/24/2018,17:00:00,8150.00000,8205.00000,8040.00000,8095.00000,2081,1481
09/25/2018,17:00:00,8090.00000,8090.00000,7800.00000,7840.00000,3388,1262
09/26/2018,17:00:00,7870.00000,8020.00000,7850.00000,7970.00000,3381,907
09/27/2018,17:00:00,7930.00000,8230.00000,7915.00000,8140.00000,4965,1975
09/28/2018,17:00:00,8195.00000,8300.00000,8015.00000,8165.00000,4965,1975
10/01/2018,17:00:00,8055.00000,8120.00000,7950.00000,8035.00000,1477,2033
10/02/2018,17:00:00,8045.00000,8080.00000,7930.00000,8005.00000,1131,2029
10/03/2018,17:00:00,8005.00000,8015.00000,7840.00000,7920.00000,1356,2090
10/04/2018,17:00:00,7910.00000,8105.00000,7900.00000,8050.00000,1697,2172
10/05/2018,17:00:00,8025.00000,8075.00000,7995.00000,8025.00000,928,2221
10/08/2018,17:00:00,8025.00000,8170.00000,8010.00000,8125.00000,1783,2438
10/09/2018,17:00:00,8115.00000,8115.00000,8030.00000,8075.00000,1004,2477
10/10/2018,17:00:00,8075.00000,8085.00000,7945.00000,8035.00000,1700,2500
10/11/2018,17:00:00,8010.00000,8030.00000,7525.00000,7675.00000,4268,2263
10/12/2018,17:00:00,7675.00000,7720.00000,7590.00000,7680.00000,1908,2390
10/15/2018,17:00:00,7660.00000,8265.00000,7605.00000,7885.00000,6704,2322
10/16/2018,17:00:00,7885.00000,7990.00000,7875.00000,7915.00000,1604,2248
10/17/2018,17:00:00,7940.00000,7975.00000,7895.00000,7915.00000,1189,2172
10/18/2018,17:00:00,7925.00000,7975.00000,7825.00000,7885.00000,2759,2149
10/19/2018,17:00:00,7870.00000,7900.00000,7835.00000,7875.00000,1108,2105
10/22/2018,17:00:00,7910.00000,7940.00000,7855.00000,7890.00000,1752,1894
10/23/2018,17:00:00,7895.00000,7920.00000,7845.00000,7890.00000,1492,1736
10/24/2018,17:00:00,7890.00000,7985.00000,7875.00000,7920.00000,2799,1370
10/25/2018,17:00:00,7915.00000,7915.00000,7825.00000,7910.00000,1331,1534
10/26/2018,17:00:00,7900.00000,7965.00000,7875.00000,7895.00000,2434,1924
10/29/2018,17:00:00,7895.00000,7945.00000,7690.00000,7745.00000,3904,2011
10/30/2018,17:00:00,7750.00000,7795.00000,7735.00000,7750.00000,1992,2180
10/31/2018,17:00:00,7760.00000,7845.00000,7675.00000,7800.00000,3161,2056
11/01/2018,17:00:00,7800.00000,7840.00000,7795.00000,7820.00000,1174,2097
11/02/2018,17:00:00,7840.00000,7880.00000,7825.00000,7850.00000,1647,2055
11/05/2018,17:00:00,7905.00000,7955.00000,7870.00000,7895.00000,2336,2105
11/06/2018,17:00:00,7900.00000,7980.00000,7890.00000,7920.00000,3048,2406
11/07/2018,17:00:00,7935.00000,8050.00000,7935.00000,8015.00000,4263,2839
11/08/2018,17:00:00,8015.00000,8030.00000,7875.00000,7915.00000,2878,2771
11/09/2018,17:00:00,7905.00000,7920.00000,7745.00000,7840.00000,2878,2771
11/12/2018,17:00:00,7795.00000,7900.00000,7795.00000,7830.00000,1997,2818
11/13/2018,17:00:00,7820.00000,7830.00000,7730.00000,7790.00000,2534,2923
11/14/2018,17:00:00,7795.00000,7795.00000,6735.00000,6870.00000,8940,2966
11/15/2018,17:00:00,7015.00000,7095.00000,6660.00000,6930.00000,8633,2826
11/16/2018,17:00:00,6940.00000,7055.00000,6890.00000,6955.00000,3416,2988
11/19/2018,17:00:00,7005.00000,7020.00000,6065.00000,6340.00000,11321,2866
11/20/2018,17:00:00,6245.00000,6375.00000,5520.00000,5745.00000,12827,2554
11/21/2018,17:00:00,5735.00000,6125.00000,5670.00000,5895.00000,5146,2300
11/23/2018,17:00:00,5875.00000,5880.00000,5590.00000,5695.00000,5146,2300
11/26/2018,17:00:00,5470.00000,5560.00000,5020.00000,5110.00000,8901,1670
11/27/2018,17:00:00,5140.00000,5295.00000,5055.00000,5225.00000,6129,1491
11/28/2018,17:00:00,5295.00000,5870.00000,5255.00000,5805.00000,6789,1274
11/29/2018,17:00:00,5685.00000,5885.00000,5580.00000,5695.00000,5068,2692
11/30/2018,17:00:00,5725.00000,5785.00000,5355.00000,5450.00000,5068,2692
12/03/2018,17:00:00,5610.00000,5650.00000,5210.00000,5320.00000,3383,2977
12/04/2018,17:00:00,5425.00000,5535.00000,5210.00000,5360.00000,3059,2956
12/05/2018,17:00:00,5470.00000,5470.00000,5110.00000,5225.00000,2734,2956
12/06/2018,17:00:00,5470.00000,5480.00000,4880.00000,5120.00000,6081,3652
12/07/2018,17:00:00,5075.00000,5115.00000,4655.00000,4820.00000,6081,3652
12/10/2018,17:00:00,5015.00000,5100.00000,4850.00000,4895.00000,1918,3550
12/11/2018,17:00:00,4900.00000,4925.00000,4785.00000,4840.00000,1989,3525
12/12/2018,17:00:00,4865.00000,4990.00000,4825.00000,4940.00000,2665,3483
12/13/2018,17:00:00,4915.00000,4940.00000,4710.00000,4735.00000,3796,3613
12/14/2018,17:00:00,4755.00000,4785.00000,4640.00000,4665.00000,3046,3673
12/17/2018,17:00:00,4700.00000,5090.00000,4685.00000,5050.00000,4114,3680
12/18/2018,17:00:00,4995.00000,5080.00000,4945.00000,5015.00000,3415,3419
12/19/2018,17:00:00,5070.00000,5410.00000,5070.00000,5215.00000,4997,3218
12/20/2018,17:00:00,5195.00000,5670.00000,5155.00000,5395.00000,4834,3057
12/21/2018,17:00:00,5560.00000,5655.00000,5125.00000,5295.00000,5616,2289
12/24/2018,17:00:00,5470.00000,5785.00000,5445.00000,5590.00000,2415,1979
12/26/2018,17:00:00,5295.00000,5370.00000,5130.00000,5280.00000,2751,1319
12/27/2018,17:00:00,5320.00000,5345.00000,5050.00000,5070.00000,4180,2776
12/28/2018,17:00:00,5075.00000,5510.00000,5060.00000,5395.00000,4180,2726
12/31/2018,17:00:00,5325.00000,5335.00000,5125.00000,5175.00000,1961,2659
01/02/2019,17:00:00,5245.00000,5380.00000,5210.00000,5355.00000,3227,2874
01/03/2019,17:00:00,5375.00000,5395.00000,5235.00000,5285.00000,3620,3013
01/04/2019,17:00:00,5280.00000,5400.00000,5215.00000,5270.00000,3919,3016
01/07/2019,17:00:00,5515.00000,5595.00000,5470.00000,5510.00000,2757,3111
01/08/2019,17:00:00,5505.00000,5620.00000,5450.00000,5510.00000,4171,3127
01/09/2019,17:00:00,5515.00000,5555.00000,5475.00000,5515.00000,3683,3132
01/10/2019,17:00:00,5520.00000,5545.00000,5050.00000,5130.00000,5744,3610
01/11/2019,17:00:00,5125.00000,5210.00000,5085.00000,5160.00000,4216,3447
01/14/2019,17:00:00,5015.00000,5225.00000,4925.00000,5175.00000,4387,2965
01/15/2019,17:00:00,5175.00000,5190.00000,5015.00000,5060.00000,3786,3149
01/16/2019,17:00:00,5075.00000,5170.00000,5070.00000,5085.00000,4110,3174
01/17/2019,17:00:00,5095.00000,5170.00000,5040.00000,5130.00000,3564,3145
01/18/2019,17:00:00,5140.00000,5155.00000,5065.00000,5110.00000,2669,3048
01/22/2019,17:00:00,5050.00000,5145.00000,4915.00000,5105.00000,6725,2732
01/23/2019,17:00:00,5095.00000,5115.00000,4955.00000,5050.00000,2003,2289
01/24/2019,17:00:00,5050.00000,5090.00000,5045.00000,5065.00000,3678,2946
01/25/2019,17:00:00,5070.00000,5080.00000,5010.00000,5050.00000,3678,2946
01/28/2019,17:00:00,5030.00000,5060.00000,4870.00000,4925.00000,4345,3321
01/29/2019,17:00:00,4930.00000,4940.00000,4845.00000,4915.00000,2453,3366
01/30/2019,17:00:00,4905.00000,4980.00000,4890.00000,4955.00000,3311,3218
01/31/2019,17:00:00,4965.00000,5000.00000,4910.00000,4940.00000,4066,3249
02/01/2019,17:00:00,4930.00000,4985.00000,4890.00000,4970.00000,4692,3233
02/04/2019,17:00:00,4925.00000,4960.00000,4920.00000,4940.00000,2947,3186
