Date,Time,Open,High,Low,Close,Up,Down
06/24/2008,17:00,1137.0,1147.5,1124.75,1135.5,1059749,1037269
06/25/2008,17:00,1135.25,1157.25,1134.25,1138.75,994800,930755
06/26/2008,17:00,1136.0,1140.0,1102.5,1104.5,1270792,1358134
06/27/2008,17:00,1105.25,1111.25,1092.25,1099.75,1149469,1176039
06/30/2008,17:00,1101.25,1111.5,1094.75,1104.0,1089644,1083029
07/01/2008,17:00,1103.0,1106.5,1080.5,1106.0,1634224,1550558
07/02/2008,17:00,1106.75,1114.25,1080.5,1082.5,1186307,1243968
07/03/2008,17:00,1081.75,1093.25,1071.25,1084.5,948662,887274
07/04/2008,17:00,1084.75,1088.75,1076.0,1076.25,22007,30663
07/07/2008,17:00,1078.0,1094.5,1060.25,1072.0,1256204,1271910
07/08/2008,17:00,1072.25,1095.75,1056.0,1094.0,1434030,1322423
07/09/2008,17:00,1094.75,1098.25,1064.25,1065.25,1146727,1257196
07/10/2008,17:00,1065.25,1078.75,1056.5,1076.5,1479406,1529087
07/11/2008,17:00,1075.75,1081.25,1045.0,1059.25,1598400,1644841
07/14/2008,17:00,1059.5,1080.0,1044.25,1048.25,1317882,1350375
07/15/2008,17:00,1047.5,1055.25,1020.25,1033.5,1830748,1834494
07/16/2008,17:00,1031.5,1065.75,1022.0,1060.5,1478332,1385400
07/17/2008,17:00,1060.0,1082.5,1057.5,1066.0,1477188,1428753
07/18/2008,17:00,1064.5,1082.5,1060.5,1080.0,942325,935231
07/21/2008,17:00,1078.75,1088.5,1069.25,1070.25,789812,793093
07/22/2008,17:00,1068.5,1097.5,1066.75,1092.5,1067975,994780
07/23/2008,17:00,1093.75,1110.75,1092.75,1100.5,1053826,1060577
07/24/2008,17:00,1101.25,1104.5,1070.5,1073.0,965355,1015178
07/25/2008,17:00,1074.5,1082.25,1068.75,1073.25,810487,788275
07/28/2008,17:00,1074.75,1079.5,1052.5,1054.0,763221,861147
07/29/2008,17:00,1053.75,1082.75,1051.0,1081.25,1118676,973548
07/30/2008,17:00,1081.75,1105.25,1079.25,1104.25,1196253,1148619
07/31/2008,17:00,1103.75,1109.5,1084.5,1086.75,1133608,1190874
08/01/2008,17:00,1086.5,1094.5,1072.5,1079.0,919396,933741
08/04/2008,17:00,1080.75,1082.75,1065.75,1068.75,764050,760237
08/05/2008,17:00,1069.0,1104.0,1066.75,1102.75,1069617,937695
08/06/2008,17:00,1104.25,1111.25,1094.75,1107.25,863410,854107
08/07/2008,17:00,1104.0,1108.5,1083.0,1088.0,973104,1009425
08/08/2008,17:00,1088.0,1117.5,1081.5,1112.0,1152250,1019874
08/11/2008,17:00,1111.0,1133.0,1107.5,1123.75,1078566,1021464
08/12/2008,17:00,1123.75,1127.25,1104.75,1111.25,854728,888752
08/13/2008,17:00,1112.25,1114.0,1094.0,1104.0,1086354,1093048
08/14/2008,17:00,1104.0,1120.25,1094.75,1114.75,984545,911820
08/15/2008,17:00,1115.0,1122.0,1110.0,1119.25,736066,730024
08/18/2008,17:00,1119.0,1125.5,1093.5,1102.25,831585,864648
08/19/2008,17:00,1102.0,1102.5,1082.25,1087.75,835008,880639
08/20/2008,17:00,1087.75,1096.25,1080.0,1093.5,892500,871286
08/21/2008,17:00,1094.75,1101.25,1082.75,1095.25,812326,778198
08/22/2008,17:00,1094.5,1113.5,1091.0,1111.75,715562,656019
08/25/2008,17:00,1110.5,1111.75,1083.75,1086.75,791074,848642
08/26/2008,17:00,1087.0,1095.25,1082.0,1091.25,730679,687935
08/27/2008,17:00,1090.5,1104.75,1085.0,1100.5,737654,686953
08/28/2008,17:00,1100.75,1119.5,1095.0,1117.25,774387,728072
08/29/2008,17:00,1117.0,1117.5,1101.0,1103.0,652838,688791
09/01/2008,17:00,1101.5,1104.5,1096.25,1102.25,40461,32630
09/02/2008,17:00,1103.75,1123.0,1091.0,1095.75,1072933,1130668
09/03/2008,17:00,1095.75,1100.5,1084.75,1095.0,1067373,1075060
09/04/2008,17:00,1095.75,1096.5,1054.5,1057.0,1313501,1498822
09/05/2008,17:00,1055.25,1064.75,1036.0,1059.75,1478993,1430044
09/08/2008,17:00,1083.0,1101.5,1066.25,1086.0,1614340,1548480
09/09/2008,17:00,1085.25,1094.5,1043.0,1045.0,1549223,1687504
09/10/2008,17:00,1045.75,1064.25,1039.75,1053.25,1394860,1397916
09/11/2008,17:00,1053.0,1073.25,1030.5,1072.0,893380,826497
09/12/2008,17:00,1070.25,1077.5,1052.75,1077.0,1096101,1047405
09/15/2008,17:00,1053.25,1057.5,1012.75,1014.75,1749658,1829675
09/16/2008,17:00,1014.25,1039.25,981.25,1019.5,2272571,2255345
09/17/2008,17:00,1022.25,1047.75,975.25,983.25,2254774,2312675
09/18/2008,17:00,981.75,1037.0,954.5,1021.75,2786697,2811122
09/19/2008,17:00,1024.25,1109.5,1022.5,1065.0,1954473,1950609
09/22/2008,17:00,1062.25,1068.5,1023.5,1033.0,1355549,1408165
09/23/2008,17:00,1034.25,1041.0,1003.75,1008.0,1525567,1571894
09/24/2008,17:00,1017.5,1028.5,998.5,1009.25,1194747,1207564
09/25/2008,17:00,1007.0,1043.0,1004.25,1030.75,1403368,1329799
09/26/2008,17:00,1030.5,1039.25,1003.0,1033.0,1091592,1090512
09/29/2008,17:00,1038.25,1039.5,930.25,934.25,1931876,2045680
09/30/2008,17:00,935.75,994.0,933.0,983.75,1510768,1383123
10/01/2008,17:00,983.75,991.25,962.0,986.5,1255305,1233657
10/02/2008,17:00,988.25,992.25,933.5,942.25,1334393,1377936
10/03/2008,17:00,942.25,979.25,920.75,927.25,1587742,1571677
10/06/2008,17:00,922.0,922.25,827.25,869.0,2233612,2246080
10/07/2008,17:00,871.75,896.25,817.75,821.75,2095988,2184871
10/08/2008,17:00,823.25,863.25,781.25,791.5,2675077,2631575
10/09/2008,17:00,793.5,828.25,723.5,730.0,2060886,2100769
10/10/2008,17:00,733.5,761.25,655.25,707.0,2924000,2929718
10/13/2008,17:00,727.75,835.75,727.5,831.0,1743618,1631586
10/14/2008,17:00,832.0,885.25,792.5,825.25,1987475,2063852
10/15/2008,17:00,821.25,826.75,715.5,718.25,1825326,1989699
10/16/2008,17:00,707.5,768.25,683.5,759.0,2533693,2502359
10/17/2008,17:00,761.75,806.0,726.25,751.5,1896823,1903277
